gbs_customer_number,gbs_customer_name,risk_class,gbs_payment_term,order_number,invoice_number,item_family_name,item_product_type,collector_code,gbs_document_date,gbs_due_date,gbs_clearing_date,payment_days,days_to_pay,customer,gbs_amount_paid,bill_location_country_cd,ship_type,order_type_description,route_description,sales_rep_name,business_unit,reason_coding,invc_rjctn_sts,invc_rjctn_desc,trx_type,amnt_categ,product_category,biczincotrm
JP10_1000240093,NIFTY CORPORATION,LOW,EO10,40495951.0,4000061230,CUSTOMER SERVICE,CS HARDWARE,JP001,2015-04-08 00:00:00,2015-05-30 00:00:00,2015-05-29 00:00:00,-1.0,52.0,Good,4710,JP,,Service and Maint.,,"KASAHARA, NAOYA",JP10,,,,,Low Pay,RENEWAL,Bill Sender and Add
JP10_1000029951,NS SOLUTIONS CORPORATION,LOW,NT12,30713163.0,4000070273,CUSTOMER SERVICE,CS HARDWARE,JP001,2015-09-28 00:00:00,2015-11-27 00:00:00,2015-11-25 00:00:00,-2.0,60.0,Good,132606,JP,,EMC Issue,,"YAMAGUCHI, SHINTARO",JP10,,0.0,,PROCESSED,High Pay,Product PS level 1,Delivered Duty Paid
JP10_1000311899,"MIZUHO TRUST SYSTEMS CO.,LTD.",LOW,EO10,30536427.0,4000056805,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,JP001,2015-01-21 00:00:00,2015-03-02 00:00:00,2015-01-30 00:00:00,-31.0,40.0,Good,1672,JP,,Contract Eval,,"MINAMI, KENJI",JP10,,,,,Low Pay,Professional Service,Delivered Duty Paid
CN10_1003824031,BEIJING CRACK INFORMATION TECHNOLOGY LTD,HI,,,SW1506-49,,,CN002,2015-06-12 00:00:00,2015-06-12 00:00:00,2015-06-15 00:00:00,3.0,0.0,Good,-21682,,,,,,CN10,,,,,Low Pay,,
PH10_1000243065,"MSI-ECS (PHILS.), INC.",HLD,,70248121.0,1250004233,CUSTOMER SERVICE,CS HARDWARE,PH001,2018-01-15 00:00:00,2018-01-15 00:00:00,2018-02-28 00:00:00,44.0,0.0,Bad,-4477,PH,,EMC11i Field Service,,,PH10,,,,,Low Pay,Product PS Level 2,
IE10_1000652350,"CHANGHONG IT (HONGKONG) INFORMATION PRODUCTS CO., LIMITED",LOW,,,H1512-241,,,CN001,2015-12-22 00:00:00,2015-12-22 00:00:00,2015-12-22 00:00:00,0.0,0.0,Good,-191600,,,,,,IE10,,,,,Low Pay,,
JP10_1000247630,ITOCHU TECHNO-SOLUTIONS CORPORATION,LOW,EO14,310243514.0,4000094755,UNIFIED,SOFTWARE,JP001,2017-01-23 00:00:00,2017-04-01 00:00:00,2017-03-31 00:00:00,-1.0,68.0,Good,115739,JP,,Contract Eval,,"KANZAWA, TAKESHI",JP10,,,,,High Pay,Product PS level 1,Delivered Duty Paid
AU12_1000349496,LOGICALIS AUSTRALIA PTY LIMITED,NEW,,,A240066153650523,,,AU001,2015-12-31 00:00:00,2015-12-31 00:00:00,2015-12-31 00:00:00,0.0,0.0,Good,-154254,,,,,,AU12,,,,,Low Pay,,
SG10_1000495127,ORANGE BUSINESS SERVICES SINGAPORE PTE LTD,LOW,NT12,30596960.0,4500011226,AVAMAR SW,SOFTWARE,SG001,2015-03-31 00:00:00,2015-05-30 00:00:00,2015-08-12 00:00:00,74.0,60.0,Bad,107853,SG,,Contract Eval,,"KOH, JOOHENG",SG10,,,,,High Pay,Product PS level 1,Delivered Duty Paid
AU12_1000235671,DATA#3 LIMITED,HI,NT07,310014437.0,2700043398,CUSTOMER SERVICE,CS SOFTWARE,AU002,2016-02-23 00:00:00,2016-03-24 00:00:00,2016-04-11 00:00:00,18.0,30.0,Bad,9690,AU,,EMC Std. Sales Order,,"KAPILA, ALOK",AU12,,0.0,,PROCESSED,Low Pay,Product PS level 1,Carriage and insurance paid to
IE10_1000726958,"ECS TECHNOLOGY (HK) CO., LIMITED",MED,NT07,30596209.0,3700125817,CUSTOMER SERVICE,CS HARDWARE,CN001,2015-03-18 00:00:00,2015-04-17 00:00:00,2015-04-17 00:00:00,0.0,30.0,Good,16567,HK,,EMC Std. Sales Order,,"WANG, XIAOXIA",IE10,,,,,Low Pay,Product PS level 1,Carriage and insurance paid to
JP10_1000240870,KANEMATSU ELECTRONICS LTD.,NEW,,,TW1604059-2,,,JP001,2016-04-28 00:00:00,2016-04-28 00:00:00,2016-05-12 00:00:00,14.0,0.0,Good,-20010,,,,,,JP10,,,,,Low Pay,,
KR10_1000218821,KOREA INFORMATION ENGINEERING SERVICES,HI,NT12,40707075.0,4700025321,SYMMETRIX,CS HARDWARE,KR001,2016-10-31 00:00:00,2016-12-30 00:00:00,2016-12-31 00:00:00,1.0,60.0,Good,9591,KR,,Service and Maint.,,,KR10,,,,,Low Pay,RENEWAL,Ex Works
JP10_1000234873,FUJITSU FIP CORPORATION (TAKASHIMAYA),LOW,EO10,40545110.0,4000067407,CUSTOMER SERVICE,CS SOFTWARE,JP001,2015-08-06 00:00:00,2015-09-30 00:00:00,2015-09-30 00:00:00,0.0,55.0,Good,1003,JP,,Service and Maint.,,"KOMATSU, HITOMI",JP10,,,,,Low Pay,RENEWAL,Bill Sender and Add
AU12_1003936271,QBE GROUP SERVICES PTY LTD,NEW,NT07,310163007.0,2700048589,VIPR CONTROLLER,SOFTWARE,AU002,2016-09-30 00:00:00,2016-10-30 00:00:00,2016-11-24 00:00:00,25.0,30.0,Bad,1304317,AU,,EMC Std. Sales Order,,"HARGREAVES, BEN",AU12,,,,,High Pay,Product PS level 1,Carriage and insurance paid to
TH10_1000219332,"VST ECS (THAILAND) CO., LTD. (HEAD OFFICE)",NEW,NT07,310302737.0,1210005453,UNIFIED,SOFTWARE,TH001,2017-04-09 00:00:00,2017-05-09 00:00:00,2017-05-31 00:00:00,22.0,30.0,Bad,40698,TH,,EMC Std. Sales Order,,"RATTANATHARN, DECHA",TH10,,,,,Low Pay,Product PS level 1,Ex Works
PH10_1000348659,SANDZ SOLUTIONS (SINGAPORE) PTE LTD,HLD,NT07,70131665.0,1250002500,CUSTOMER SERVICE,CS SOFTWARE,PH001,2015-09-28 00:00:00,2015-10-28 00:00:00,2015-12-23 00:00:00,56.0,30.0,Bad,282010,SG,,EMC Debit Memo Req,,"DELGADO, VINCENT",PH10,GRO Confirmation/Issue,0.0,,PROCESSED,High Pay,Product PS level 1,Ex Works
AU12_1000264122,INGRAM MICRO PTY LTD,NEW,NT07,30736571.0,2700041206,RECOVERPOINT,SOFTWARE,AU001,2015-11-13 00:00:00,2015-12-13 00:00:00,2015-12-31 00:00:00,18.0,30.0,Bad,13728,AU,,EMC Std. Sales Order,,,AU12,,0.0,,PROCESSED,Low Pay,Product PS level 1,Carriage and insurance paid to
JP10_1000247630,ITOCHU TECHNO-SOLUTIONS CORPORATION,LOW,EO14,310243514.0,4000094755,RECOVERPOINTSW,SOFTWARE,JP001,2017-01-23 00:00:00,2017-04-01 00:00:00,2017-03-31 00:00:00,-1.0,68.0,Good,115739,JP,,Contract Eval,,"KANZAWA, TAKESHI",JP10,,,,,High Pay,Product PS level 1,Delivered Duty Paid
IE10_1000042435,BESTCOM INFOTECH CORP,EXL,NT07,30644294.0,3700133895,UNIFIED,SOFTWARE,TW001,2015-06-11 00:00:00,2015-07-11 00:00:00,2015-07-28 00:00:00,17.0,30.0,Bad,15573,TW,,EMC Std. Sales Order,,,IE10,,,,,Low Pay,Product PS level 1,Ex Works
KR10_1000370752,"LG N-SYS CO., LTD",LOW,,,ET15Q4-031,,,KR001,2015-11-29 00:00:00,2015-11-29 00:00:00,2015-11-29 00:00:00,0.0,0.0,Good,0,,,,,,KR10,,,,,Low Pay,,
MY10_1003823081,BUMI ARMADA OFFSHORE HOLDINGS LIMITED (HCML MADURA),NEW,NT10,30592934.0,4200004549,THIRD PARTY,CS SOFTWARE,MY001,2015-03-13 00:00:00,2015-04-27 00:00:00,2015-04-21 00:00:00,-6.0,45.0,Good,40677,MY,,EMC Std. Sales Order,,"LEE, ENGPENG",MY10,,,,,Low Pay,Product PS level 1,Ex Works
SG10_1000458257,WELLS FARGO BANK SINGAPORE BRANCH,NEW,NT07,310065395.0,4500015332,,CS HARDWARE,SG002,2016-06-28 00:00:00,2016-07-28 00:00:00,2016-07-25 00:00:00,-3.0,30.0,Good,352023,SG,,Contract Eval,,"SIM, YORKSENG",SG10,,,,,High Pay,Product PS level 1,Delivered Duty Paid
IE10_1000255791,INGRAM MICRO INDIA PRIVATE LIMITED,HLD,NT07,30730482.0,3700148418,UNIFIED,HARDWARE,IE007,2015-10-29 00:00:00,2015-11-28 00:00:00,2015-12-16 00:00:00,18.0,30.0,Bad,9027,IN,,EMC Std. Sales Order,,,IE10,,0.0,,PROCESSED,Low Pay,Product PS level 1,Ex Works
NZ10_1003844079,INGRAM MICRO (N.Z.) LIMITED,NEW,NT07,70239294.0,4300007779,,HARDWARE,NZ003,2017-06-28 00:00:00,2017-07-28 00:00:00,2017-08-01 00:00:00,4.0,30.0,Good,10795,NZ,,EMC Debit Memo Req,,,NZ10,,,,,Low Pay,Product PS Level 2,Ex Works
JP10_1000247630,ITOCHU TECHNO-SOLUTIONS CORPORATION,LOW,EO14,310535074.0,4000114059,VPLEX,SOFTWARE,JP001,2018-04-13 00:00:00,2018-06-29 00:00:00,2018-06-29 00:00:00,0.0,77.0,Good,38352,JP,,EMC Std. Sales Order,,"YAMAOKA, MANABU",JP10,,,,,Low Pay,Product PS level 1,Delivered Duty Paid
JP10_1000247630,ITOCHU TECHNO-SOLUTIONS CORPORATION,LOW,EO14,310535074.0,4000114059,CUSTOMER SERVICE,CS SOFTWARE,JP001,2018-04-13 00:00:00,2018-06-29 00:00:00,2018-06-29 00:00:00,0.0,77.0,Good,38352,JP,,EMC Std. Sales Order,,"YAMAOKA, MANABU",JP10,,,,,Low Pay,Product PS level 1,Delivered Duty Paid
JP10_1000247630,ITOCHU TECHNO-SOLUTIONS CORPORATION,LOW,EO14,310235350.0,4000093538,HOST,HARDWARE,JP001,2016-12-27 00:00:00,2017-03-01 00:00:00,2017-02-28 00:00:00,-1.0,64.0,Good,222291,JP,,Contract Eval,,"YOKOIWA, JUN",JP10,,,,,High Pay,Product PS level 1,Delivered Duty Paid
JP10_1000145756,"SUMITOMO MITSUI FINANCE AND LEASING COMPANY, LIMITED",MED,NT12,30699578.0,4000071971,FINANCIAL SERVICES,HARDWARE,JP001,2015-10-29 00:00:00,2015-12-28 00:00:00,2015-11-10 00:00:00,-48.0,60.0,Good,206,JP,,Lease Direct Keeper,,,JP10,,0.0,,PROCESSED,Low Pay,LEASE,Delivered Duty Paid
JP10_1000241322,"IBJ Leasing Company, Limited",LOW,EO10,310239823.0,4000093616,RECOVERPOINT,SOFTWARE,JP001,2016-12-28 00:00:00,2017-01-30 00:00:00,2016-12-29 00:00:00,-32.0,33.0,Good,7116469,JP,,Lease Direct Funded,,"TABUCHI, MASAKAZU",JP10,,,,,High Pay,LEASE,Delivered Duty Paid
KR11_1000205881,"INSUNG INFORMATION CO., LTD.",MED,,30552329.0,2230008316,,HARDWARE,KH001,2015-02-04 00:00:00,2015-05-02 00:00:00,2015-02-23 00:00:00,-67.0,87.0,Good,-190000,KR,Truck,EMC Std. Sales Order,IE to KR - 5 - 7 Day Ground Direct,"KANG, KYEONGMO",KR11,,,,,Low Pay,Product PS level 1,Ex Works
JP10_1000242020,NETWORLD CORPORATION,LOW,EO10,30592799.0,4000060705,DATADOMAIN,SOFTWARE,JP001,2015-03-27 00:00:00,2015-04-30 00:00:00,2015-04-30 00:00:00,0.0,34.0,Good,6003,JP,,EMC Std. Sales Order,,,JP10,,,,,Low Pay,Product PS level 1,Delivered Duty Paid
JP10_1000222550,"NET ONE SYSTEMS CO., LTD.",LOW,EO14,40899559.0,4000113130,CUSTOMER SERVICE,CS HARDWARE,JP001,2018-03-30 00:00:00,2018-05-30 00:00:00,2018-05-31 00:00:00,1.0,61.0,Good,7576,JP,,Service and Maint.,,,JP10,,,,,Low Pay,RENEWAL,Delivered Duty Paid
AU12_1000475255,COMMONWEALTH BANK OF AUSTRALIA,MED,,,A2400661815500T0,,,AU002,2018-06-04 00:00:00,2018-06-04 00:00:00,2018-06-04 00:00:00,0.0,0.0,Good,-60077,,,,,,AU12,,,,,Low Pay,,
JP10_1000413172,CTC TECHNOLOGY CORPORATION / ITOCHU TECHNO-SCIE,MED,EO10,40683948.0,4000086875,CUSTOMER SERVICE,CS SOFTWARE,JP001,2016-08-05 00:00:00,2016-09-30 00:00:00,2017-02-09 00:00:00,132.0,56.0,Bad,1119,JP,,Service and Maint.,,,JP10,,,,,Low Pay,RENEWAL,
JP10_1000614252,FUJITSU LEARNING MEDIA LIMITED,LOW,EO10,30699276.0,4000069652,CUSTOMER EDUCATION,CUSTOMER EDUCATION,JP001,2015-09-12 00:00:00,2015-10-30 00:00:00,2015-10-30 00:00:00,0.0,48.0,Good,1765,JP,,EMC Std. Sales Order,,"KOMATSU, HITOMI",JP10,,0.0,,PROCESSED,Low Pay,Customer Education,Delivered Duty Paid
IE10_1000297533,DIGITAL CHINA TECHNOLOGY LIMITED,MED,NT10,30752428.0,3700155085,,HARDWARE,CN001,2015-12-29 00:00:00,2016-02-12 00:00:00,2016-03-17 00:00:00,33.0,45.0,Bad,27501,HK,Truck,EMC Std. Sales Order,IE to CN - 5 - 7 Day Ground Direct,"CUI, YUANYUAN",IE10,,0.0,,PROCESSED,Low Pay,Product PS level 1,Carriage and insurance paid to
JP10_1000247630,ITOCHU TECHNO-SOLUTIONS CORPORATION,LOW,EO14,30757672.0,4000074152,CONNECTRIX,HARDWARE,JP001,2015-12-10 00:00:00,2016-02-29 00:00:00,2016-02-29 00:00:00,0.0,81.0,Good,200292,JP,Truck,EMC Issue,NL to JP - 5 - 7 Day Ground Direct,"ONO, TAKEHARU",JP10,,0.0,,PROCESSED,High Pay,Product PS level 1,Delivered Duty Paid
IE10_1003829999,BOYA DIGITAL TECHNOLOGY (BEIJING) CO LTD,HI,PP00,310029110.0,3700168676,VPLEX,SOFTWARE,CN001,2016-06-02 00:00:00,2016-06-02 00:00:00,2016-06-02 00:00:00,0.0,0.0,Good,76029,CN,,EMC Std. Sales Order,,"DAI, HONGXING",IE10,,0.0,,PROCESSED,High Pay,Product PS level 1,Carriage and insurance paid to
IE10_1000297533,DIGITAL CHINA TECHNOLOGY LIMITED,MED,NT10,310333589.0,3700200635,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,CN001,2017-05-18 00:00:00,2017-07-02 00:00:00,2017-07-10 00:00:00,8.0,45.0,Good,8500,HK,,EMC Std. Sales Order,,"ZHANG, STEVEN",IE10,,,,,Low Pay,PS Level 2,Carriage and insurance paid to
IE10_1000104500,"NT&T CO., LTD",HI,NT07,310506795.0,3700227537,CUSTOMER SERVICE,CS SOFTWARE,SG001,2018-03-13 00:00:00,2018-04-12 00:00:00,2018-05-18 00:00:00,36.0,30.0,Bad,77170,VN,,EMC Std. Sales Order,,"VU, DUY",IE10,,,,,High Pay,Product PS level 1,Ex Works
IE10_1003808194,"JOYOU DATA TECHNOLOGY LTD.,CO",HI,,,17066417443690,,,CN001,2017-03-09 00:00:00,2017-03-09 00:00:00,2017-03-09 00:00:00,0.0,0.0,Good,-296,,,,,,IE10,,,,,Low Pay,,
JP10_1000247630,ITOCHU TECHNO-SOLUTIONS CORPORATION,LOW,EO14,50268734.0,4000089347,CUSTOMER SERVICE,CS HARDWARE,JP001,2016-10-03 00:00:00,2016-10-31 00:00:00,2016-10-07 00:00:00,-24.0,28.0,Good,-24597,JP,,EMC Credit Memo Req,,"NOMOTO, YASUHIRO",JP10,,,,,Low Pay,PPM Maint,Delivered Duty Paid
IE10_1000634043,HCL SERVICES LTD.,HI,NT10,,0090920632,,,IN001,2017-09-20 00:00:00,2017-11-04 00:00:00,2017-10-11 00:00:00,-24.0,45.0,Good,-4238,,,,,,IE10,,,,,Low Pay,RENEWAL,
PH10_1000265190,"MSI ECS PHILS., INC",HLD,NT07,310257223.0,1250003513,CUSTOMER SERVICE,CS SOFTWARE,PH001,2017-01-13 00:00:00,2017-02-12 00:00:00,2017-02-13 00:00:00,1.0,30.0,Good,143612,PH,,EMC Std. Sales Order,,"ALILAM, MASHERRY",PH10,,,,,High Pay,Product PS level 1,Ex Works
KR11_1000253185,"LG N-SYS CO., LTD",LOW,LC08,30595467.0,2230008596,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,KH001,2015-03-19 00:00:00,2015-06-27 00:00:00,2015-03-26 00:00:00,-93.0,100.0,Good,7631,KR,,EMC Std. Sales Order,,"KIM, HYUNMIN",KR11,,,,,Low Pay,Professional Service,Ex Works
IE10_1003921981,CELESTICA HK LTD,NEW,,,3600712980,,,HK001,2016-11-30 00:00:00,2016-11-30 00:00:00,2016-12-07 00:00:00,7.0,0.0,Good,-290535,,,,,,IE10,,,,,Low Pay,,
KR11_1000205881,"INSUNG INFORMATION CO., LTD.",MED,LC08,310463055.0,2230017635,DATADOMAIN,HARDWARE,KH001,2017-12-18 00:00:00,2018-03-28 00:00:00,2018-01-08 00:00:00,-78.0,100.0,Good,42000,KR,,EMC Std. Sales Order,,"KIM, JEONGYOON",KR11,,,,,Low Pay,Product PS level 1,Ex Works
HK10_1000210789,KARIN ELECTRONIC SUPPLIES CO LIMITED,MED,NT07,30723889.0,3600012150,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,HK001,2016-02-04 00:00:00,2016-03-05 00:00:00,2016-06-28 00:00:00,114.0,30.0,Bad,7595,HK,,EMC Std. Sales Order,,,HK10,,0.0,,PROCESSED,Low Pay,PS Level 2,Carriage and insurance paid to
IE10_1000054292,CHANGHONG IT INFORMATION PRODUCTS CO. LTD.,LOW,LC07,310335816.0,3700199502,,HARDWARE,CN001,2017-05-04 00:00:00,2017-07-13 00:00:00,2017-07-19 00:00:00,6.0,70.0,Good,24756,CN,Truck,EMC Std. Sales Order,IE to CN - 5 - 7 Day Ground Direct,"YU, JIWEN",IE10,,,,,Low Pay,Product PS Level 2,Carriage and insurance paid to
JP10_1000239608,SCSK CORPORATION,LOW,EO10,310285415.0,4000096834,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,JP001,2017-03-07 00:00:00,2017-04-30 00:00:00,2017-04-28 00:00:00,-2.0,54.0,Good,320774,JP,,EMC Issue,,"IWASAKI, TAKUMI",JP10,,,,,High Pay,Product PS level 1,Delivered Duty Paid
IE10_1000654827,WIPRO LIMITED - WIVIDUS,HI,,,3700619604,,,IN001,2017-08-18 00:00:00,2017-08-18 00:00:00,2017-08-30 00:00:00,12.0,0.0,Good,-168004,,,,,,IE10,,,,,Low Pay,,
PH10_1000293693,"FRITZ & MACZIOL ASIA, INC",HLD,NT07,30576277.0,1250002000,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,PH001,2015-02-14 00:00:00,2015-03-16 00:00:00,2015-02-19 00:00:00,-24.0,30.0,Good,123431,PH,,EMC Std. Sales Order,,"UNTALAN, MARCO",PH10,,,,,High Pay,Product PS level 1,Ex Works
IE10_1000054292,CHANGHONG IT INFORMATION PRODUCTS CO. LTD.,LOW,LC07,310137247.0,3700178023,CUSTOMER SERVICE,CS SOFTWARE,CN001,2016-09-17 00:00:00,2016-11-26 00:00:00,2016-11-30 00:00:00,4.0,70.0,Good,41000,CN,,EMC Std. Sales Order,,"JIANG, PEIFENG",IE10,,,,,Low Pay,Product PS level 1,Carriage and insurance paid to
TH10_1003902527,DIMENSION DATA (THAILAND) LIMITED,PLA,AR60,40923541.0,1210006892,CUSTOMER SERVICE,CS HARDWARE,TH001,2018-06-23 00:00:00,2018-08-22 00:00:00,2018-07-04 00:00:00,-49.0,60.0,Good,8167,TH,,Service and Maint.,,,TH10,,,,,Low Pay,RENEWAL,
JP10_1000313436,IDC FRONTIER INC.,LOW,EO10,310133861.0,4000089305,UNIFIED,SOFTWARE,JP001,2016-09-30 00:00:00,2016-10-30 00:00:00,2016-10-31 00:00:00,1.0,30.0,Good,63428,JP,,Contract Eval,,"ARAI, TAKAFUMI",JP10,,,,,High Pay,Product PS level 1,Delivered Duty Paid
IE10_1000054292,CHANGHONG IT INFORMATION PRODUCTS CO. LTD.,LOW,LC07,310267705.0,3700194888,SYMMETRIX,CS HARDWARE,CN001,2017-03-17 00:00:00,2017-05-26 00:00:00,2017-03-28 00:00:00,-59.0,70.0,Good,195966,CN,,Contract Eval,,"LU, DONGXIA",IE10,,,,,High Pay,Product PS level 1,Carriage and insurance paid to
JP10_1000250334,JR EAST INFORMATION SYSTEMS COMPANY,LOW,EO14,40467339.0,4000057707,CUSTOMER SERVICE,CS HARDWARE,JP001,2015-02-05 00:00:00,2015-04-29 00:00:00,2015-04-30 00:00:00,1.0,83.0,Good,460,JP,,Service and Maint.,,"NOMURA, ITSUKI",JP10,,,,,Low Pay,RENEWAL,
IE10_1000292883,"BOYA SOFTWARE CO., LTD.",HI,LC06,30540541.0,3700125478,RECOVERPOINT,HARDWARE,CN001,2015-03-17 00:00:00,2015-05-11 00:00:00,2015-03-24 00:00:00,-48.0,55.0,Good,23204,CN,,EMC Std. Sales Order,,"ZHOU, JING",IE10,,,,,Low Pay,Product PS level 1,Carriage and insurance paid to
SG10_1000176816,NCS PTE. LTD.,HI,NT07,,0090866738,,,SG001,2017-04-27 00:00:00,2017-05-27 00:00:00,2017-05-02 00:00:00,-25.0,30.0,Good,-128188,,,,,,SG10,,,,,Low Pay,Product PS level 1,
IE10_1000312425,TATUNG SYSTEM TECHNOLOGIES INC.,LOW,NT07,310425124.0,3700214207,PROFESSIONAL SERVICES,PROFESSIONAL SERVICES,TW001,2017-10-24 00:00:00,2017-11-23 00:00:00,2017-12-01 00:00:00,8.0,30.0,Good,50291,TW,,EMC Std. Sales Order,,"TIEN, HSIAO",IE10,,,,,High Pay,Professional Service,Ex Works
JP10_1000094838,THE WALT DISNEY COMPANY(JAPAN) LTD.,LOW,,,CL1607001,,,JP001,2016-07-01 00:00:00,2016-07-01 00:00:00,2016-07-01 00:00:00,0.0,0.0,Good,-27124,,,,,,JP10,,,,,Low Pay,,
KR11_1000033899,"KOLON BENIT CO.,LTD",HI,LC08,310253280.0,2230014720,STORAGE MANAGEMENT,SOFTWARE,KH001,2016-12-29 00:00:00,2017-04-08 00:00:00,2017-01-23 00:00:00,-74.0,100.0,Good,20477,KR,,EMC Std. Sales Order,,"EOM, SAMYONG",KR11,,,,,Low Pay,Product PS level 1,Ex Works
IE10_1000054292,CHANGHONG IT INFORMATION PRODUCTS CO. LTD.,LOW,,,16112902400015,,,CN001,2016-11-29 00:00:00,2016-11-29 00:00:00,2016-11-29 00:00:00,0.0,0.0,Good,-300,,,,,,IE10,,,,,Low Pay,,
IE10_1000228218,REDINGTON (INDIA) LIMITED,HI,NT07,310202624.0,3700183778,SYMMETRIX,CS HARDWARE,IE007,2016-11-14 00:00:00,2016-12-14 00:00:00,2016-12-21 00:00:00,7.0,30.0,Good,21000,IN,,EMC Std. Sales Order,,"ARUMUGAM, PUTHOLI",IE10,,,,,Low Pay,Product PS level 1,Ex Works
KR10_1000198426,JC1 CORPORATION,MED,NT12,40470527.0,4700014760,SYMMETRIX,CS SOFTWARE,KR001,2015-02-13 00:00:00,2015-04-14 00:00:00,2015-04-30 00:00:00,16.0,60.0,Bad,133,KR,,Service and Maint.,,,KR10,,,,,Low Pay,RENEWAL,
JP10_1000352329,FUYO GENERAL LEASE CO. LTD.,LOW,EO10,70204527.0,4000084772,EMC,HARDWARE,JP001,2016-07-08 00:00:00,2016-08-30 00:00:00,2016-07-29 00:00:00,-32.0,53.0,Good,12055,JP,,EMC Debit Memo Req,,"FUKUYA, TAKAHIDE",JP10,,,,,Low Pay,Product PS Level 2,Delivered Duty Paid
